TrackID,ParentID,AncestorID,ProgenyID,Generation,Fate,BirthTime,StopTime,Lifetime,Initial_Fluorescence,Final_Fluorescence,Initial_Differentiation,Final_Differentiation,Initial_Morphology,Final_Morphology,Initial_Binucleation,Final_Binucleation
39.000000,34.000000,3.000000,5.000000,2.000000,1.000000,1.416516,2.527639,1.111123,NA,NA,NA,NA,NA,NA,NA,NA
40.000000,37.000000,3.000000,14.000000,3.000000,1.000000,2.333194,3.416539,1.083345,NA,NA,NA,NA,NA,NA,NA,NA
41.000000,37.000000,3.000000,15.000000,3.000000,1.000000,2.333194,3.430428,1.097234,NA,NA,NA,NA,NA,NA,NA,NA
42.000000,38.000000,3.000000,8.000000,3.000000,1.000000,2.513750,3.680405,1.166655,NA,NA,NA,NA,NA,NA,NA,NA
43.000000,38.000000,3.000000,9.000000,3.000000,1.000000,2.513750,3.836470,1.322720,NA,NA,NA,NA,NA,NA,NA,NA
44.000000,39.000000,3.000000,10.000000,3.000000,1.000000,2.541528,3.864282,1.322755,NA,NA,NA,NA,NA,NA,NA,NA
45.000000,39.000000,3.000000,11.000000,3.000000,1.000000,2.541528,3.910509,1.368981,NA,NA,NA,NA,NA,NA,NA,NA
46.000000,36.000000,3.000000,12.000000,3.000000,1.000000,3.055405,5.202176,2.146771,NA,NA,NA,NA,NA,NA,NA,NA
47.000000,36.000000,3.000000,13.000000,3.000000,0.000000,3.055405,8.923681,5.868275,NA,NA,NA,NA,NA,NA,NA,NA
48.000000,40.000000,3.000000,28.000000,4.000000,1.000000,3.430428,4.688287,1.257859,NA,NA,NA,NA,NA,NA,NA,NA
49.000000,40.000000,3.000000,29.000000,4.000000,1.000000,3.430428,4.632731,1.202303,NA,NA,NA,NA,NA,NA,NA,NA
50.000000,41.000000,3.000000,30.000000,4.000000,1.000000,3.444317,4.660509,1.216192,NA,NA,NA,NA,NA,NA,NA,NA
51.000000,41.000000,3.000000,31.000000,4.000000,1.000000,3.444317,4.716065,1.271748,NA,NA,NA,NA,NA,NA,NA,NA
52.000000,42.000000,3.000000,16.000000,4.000000,1.000000,3.694294,5.132731,1.438438,NA,NA,NA,NA,NA,NA,NA,NA
53.000000,42.000000,3.000000,17.000000,4.000000,0.000000,3.694294,5.784213,2.089919,NA,NA,NA,NA,NA,NA,NA,NA
54.000000,43.000000,3.000000,18.000000,4.000000,1.000000,3.850359,5.132731,1.282373,NA,NA,NA,NA,NA,NA,NA,NA
55.000000,43.000000,3.000000,19.000000,4.000000,0.000000,3.850359,5.784213,1.933854,NA,NA,NA,NA,NA,NA,NA,NA
56.000000,44.000000,3.000000,20.000000,4.000000,1.000000,3.878137,5.243843,1.365706,NA,NA,NA,NA,NA,NA,NA,NA
57.000000,44.000000,3.000000,21.000000,4.000000,0.000000,3.878137,8.923681,5.045544,NA,NA,NA,NA,NA,NA,NA,NA
58.000000,49.000000,3.000000,58.000000,5.000000,1.000000,4.646620,5.978738,1.332118,NA,NA,NA,NA,NA,NA,NA,NA
59.000000,49.000000,3.000000,59.000000,5.000000,2.000000,4.646620,7.145891,2.499271,NA,NA,NA,NA,NA,NA,NA,NA
60.000000,45.000000,3.000000,22.000000,4.000000,0.000000,3.924421,5.784213,1.859792,NA,NA,NA,NA,NA,NA,NA,NA
61.000000,45.000000,3.000000,23.000000,4.000000,1.000000,3.924421,5.396632,1.472211,NA,NA,NA,NA,NA,NA,NA,NA
62.000000,50.000000,3.000000,60.000000,5.000000,1.000000,4.674398,6.145521,1.471123,NA,NA,NA,NA,NA,NA,NA,NA
63.000000,50.000000,3.000000,61.000000,5.000000,1.000000,4.674398,6.353958,1.679560,NA,NA,NA,NA,NA,NA,NA,NA
64.000000,48.000000,3.000000,56.000000,5.000000,1.000000,4.702176,6.673588,1.971412,NA,NA,NA,NA,NA,NA,NA,NA
65.000000,48.000000,3.000000,57.000000,5.000000,1.000000,4.702176,6.062130,1.359954,NA,NA,NA,NA,NA,NA,NA,NA
66.000000,51.000000,3.000000,62.000000,5.000000,2.000000,4.729965,7.534769,2.804803,NA,NA,NA,NA,NA,NA,NA,NA
67.000000,51.000000,3.000000,63.000000,5.000000,2.000000,4.729965,8.020891,3.290926,NA,NA,NA,NA,NA,NA,NA,NA
68.000000,46.000000,3.000000,24.000000,4.000000,0.000000,5.216065,8.923681,3.707616,NA,NA,NA,NA,NA,NA,NA,NA
69.000000,46.000000,3.000000,25.000000,4.000000,0.000000,5.216065,8.923681,3.707616,NA,NA,NA,NA,NA,NA,NA,NA
70.000000,52.000000,3.000000,32.000000,5.000000,1.000000,5.146620,7.757002,2.610382,NA,NA,NA,NA,NA,NA,NA,NA
71.000000,52.000000,3.000000,33.000000,5.000000,1.000000,5.146620,7.173657,2.027037,NA,NA,NA,NA,NA,NA,NA,NA
72.000000,56.000000,3.000000,40.000000,5.000000,1.000000,5.257731,7.673657,2.415926,NA,NA,NA,NA,NA,NA,NA,NA
73.000000,56.000000,3.000000,41.000000,5.000000,1.000000,5.257731,6.715289,1.457558,NA,NA,NA,NA,NA,NA,NA,NA
74.000000,61.000000,3.000000,46.000000,5.000000,1.000000,5.410509,7.062546,1.652037,NA,NA,NA,NA,NA,NA,NA,NA
75.000000,61.000000,3.000000,47.000000,5.000000,1.000000,5.410509,7.132002,1.721493,NA,NA,NA,NA,NA,NA,NA,NA
76.000000,58.000000,3.000000,116.000000,6.000000,0.000000,5.992639,8.923681,2.931042,NA,NA,NA,NA,NA,NA,NA,NA
77.000000,58.000000,3.000000,117.000000,6.000000,2.000000,5.992639,8.451447,2.458808,NA,NA,NA,NA,NA,NA,NA,NA
78.000000,65.000000,3.000000,114.000000,6.000000,1.000000,6.076030,7.743113,1.667083,NA,NA,NA,NA,NA,NA,NA,NA
79.000000,65.000000,3.000000,115.000000,6.000000,0.000000,6.076030,8.923681,2.847650,NA,NA,NA,NA,NA,NA,NA,NA
